crime_id,timestamp,date,time,year,month,day_of_week,hour,crime_type,ipc_bns_section,severity_score,district,police_station,location_name,location_type,latitude,longitude,weapon_used,investigation_status
DL-2015-015031,2015-01-01 00:46:57,2015-01-01,00:46,2015,1,Thursday,0,Motor Vehicle Theft,IPC Sec 379,2,South West,Sarojini Nagar,Sarojini Nagar Export Market,Bustling Flea Market,28.575048,77.190178,No,Untraced
DL-2015-009946,2015-01-01 01:57:30,2015-01-01,01:57,2015,1,Thursday,1,Motor Vehicle Theft,IPC Sec 379,2,South,South Sector PS,"General Sector Road, South",Near Market,28.560058,76.950593,No,Under Investigation
DL-2015-007551,2015-01-01 02:58:59,2015-01-01,02:58,2015,1,Thursday,2,Robbery,IPC Sec 392 / 397,5,Shahdara,Anand Vihar,Anand Vihar ISBT & Railway Terminal,Transit Terminal / Border,28.641541,77.313147,Yes,Chargesheet Filed
DL-2015-015603,2015-01-01 08:56:55,2015-01-01,08:56,2015,1,Thursday,8,Assault / Hurt,IPC Sec 323 / 325,4,North East,Jafrabad,Jafrabad Main Road / Metro Station,High Density Residential,28.693216,77.280284,Yes,Chargesheet Filed
DL-2015-032365,2015-01-01 13:34:20,2015-01-01,13:34,2015,1,Thursday,13,Burglary,IPC Sec 380 / 457,3,Outer North,Bawana,Bawana Industrial Area Sector 1-5,Industrial Complex,28.794175,77.035348,No,Chargesheet Filed
DL-2015-000836,2015-01-01 16:56:59,2015-01-01,16:56,2015,1,Thursday,16,Snatching,IPC Sec 356 / 379,3,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.63436,77.221287,Yes,Under Investigation
DL-2015-034763,2015-01-01 19:02:39,2015-01-01,19:02,2015,1,Thursday,19,Motor Vehicle Theft,IPC Sec 379,2,Outer North,Bawana,Bawana Industrial Area Sector 1-5,Industrial Complex,28.795833,77.036469,No,Under Investigation
DL-2015-019882,2015-01-01 21:41:32,2015-01-01,21:41,2015,1,Thursday,21,Eve Teasing / Harassment,IPC Sec 354 / 509,3,South,Hauz Khas,Hauz Khas Village / Aurobindo Marg,Nightlife & Commercial Hub,28.561503,77.188206,No,Chargesheet Filed
DL-2015-005708,2015-01-02 06:43:30,2015-01-02,06:43,2015,1,Friday,6,Snatching,IPC Sec 356 / 379,3,North East,Seelampur,Seelampur Market & Flyover Underpass,Dense Residential & Market,28.670741,77.278351,No,Under Investigation
DL-2015-002847,2015-01-02 09:33:22,2015-01-02,09:33,2015,1,Friday,9,Snatching,IPC Sec 356 / 379,3,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.624828,77.217714,No,Under Investigation
DL-2015-027151,2015-01-02 15:34:29,2015-01-02,15:34,2015,1,Friday,15,Snatching,IPC Sec 356 / 379,3,Dwarka,Uttam Nagar,Uttam Nagar East Metro / Arya Samaj Road,Crowded Arterial Road,28.62514,77.054355,Yes,Untraced
DL-2015-018061,2015-01-02 15:39:44,2015-01-02,15:39,2015,1,Friday,15,Snatching,IPC Sec 356 / 379,3,Outer,Mangolpuri,Mangolpuri Industrial Area / S-Block,Dense Resettlement Colony,28.698046,77.072736,Yes,Untraced
DL-2015-008471,2015-01-02 20:14:48,2015-01-02,20:14,2015,1,Friday,20,Pickpocketing / Theft,IPC Sec 379,1,Central,Karol Bagh,Gaffar Market / Ajmal Khan Road,Commercial Market,28.642789,77.194205,No,Under Investigation
DL-2015-003067,2015-01-02 20:40:36,2015-01-02,20:40,2015,1,Friday,20,Burglary,IPC Sec 380 / 457,3,East,East Sector PS,"General Sector Road, East",Roadside / Highway,28.788501,76.923454,No,Chargesheet Filed
DL-2015-034754,2015-01-02 22:51:55,2015-01-02,22:51,2015,1,Friday,22,Motor Vehicle Theft,IPC Sec 379,2,Outer,Mangolpuri,Mangolpuri Industrial Area / S-Block,Dense Resettlement Colony,28.689649,77.080391,No,Under Investigation
DL-2015-009084,2015-01-03 07:26:38,2015-01-03,07:26,2015,1,Saturday,7,Snatching,IPC Sec 356 / 379,3,North East,Seelampur,Seelampur Market & Flyover Underpass,Dense Residential & Market,28.668663,77.272411,No,Untraced
DL-2015-033199,2015-01-03 07:31:52,2015-01-03,07:31,2015,1,Saturday,7,Snatching,IPC Sec 356 / 379,3,North,Kashmere Gate,ISBT Kashmere Gate & Metro Junction,Interstate Transit Hub,28.670713,77.23172,Yes,Under Investigation
DL-2015-017791,2015-01-03 12:17:35,2015-01-03,12:17,2015,1,Saturday,12,Burglary,IPC Sec 380 / 457,3,Outer North,Outer North Sector PS,"General Sector Road, Outer North",Roadside / Highway,28.844405,77.242577,No,Under Investigation
DL-2015-007801,2015-01-03 13:48:18,2015-01-03,13:48,2015,1,Saturday,13,Robbery,IPC Sec 392 / 397,4,Outer North,Narela,Narela Industrial Area / DSIDC Complex,Industrial & Border Outpost,28.850159,77.098475,No,Under Investigation
DL-2015-015621,2015-01-03 16:18:51,2015-01-03,16:18,2015,1,Saturday,16,Snatching,IPC Sec 356 / 379,3,North,Kotwali,Chandni Chowk / Old Delhi Railway Station,Crowded Wholesale Market,28.645187,77.227826,No,Under Investigation
DL-2015-006525,2015-01-04 07:57:40,2015-01-04,07:57,2015,1,Sunday,7,Motor Vehicle Theft,IPC Sec 379,2,East,Ghazipur,Ghazipur Mandi / Delhi-UP Border,Interstate Border / Wholesale Mandi,28.623738,77.33654,No,Chargesheet Filed
DL-2015-014108,2015-01-05 10:47:28,2015-01-05,10:47,2015,1,Monday,10,Eve Teasing / Harassment,IPC Sec 354 / 509,3,South,Saket,Select Citywalk & Press Enclave,Mall & Commercial Strip,28.528333,77.209299,No,Under Investigation
DL-2015-013341,2015-01-05 13:12:16,2015-01-05,13:12,2015,1,Monday,13,Burglary,IPC Sec 380 / 457,3,Dwarka,Dwarka Sector 23,Dwarka Expressway / Sector 21 Terminal,Transit Expressway & Isolated Stretch,28.555159,77.055532,No,Convicted
DL-2015-005039,2015-01-05 15:17:22,2015-01-05,15:17,2015,1,Monday,15,Cyber Crime,IT Act Sec 66D / IPC 420,2,West,Janakpuri,Janakpuri District Centre,Commercial Complex,28.62448,77.079539,No,Convicted
DL-2015-000965,2015-01-05 16:22:05,2015-01-05,16:22,2015,1,Monday,16,Snatching,IPC Sec 356 / 379,3,South East,Lajpat Nagar,Central Market Lajpat Nagar II,Shopping District,28.567194,77.242399,No,Untraced
DL-2015-027796,2015-01-05 16:41:24,2015-01-05,16:41,2015,1,Monday,16,Pickpocketing / Theft,IPC Sec 379,1,South East,Lajpat Nagar,Central Market Lajpat Nagar II,Shopping District,28.56501,77.244608,No,Under Investigation
DL-2015-023856,2015-01-05 18:41:45,2015-01-05,18:41,2015,1,Monday,18,Burglary,IPC Sec 380 / 457,3,South,South Sector PS,"General Sector Road, South",Roadside / Highway,28.561937,77.061001,No,Under Investigation
DL-2015-001571,2015-01-05 20:03:07,2015-01-05,20:03,2015,1,Monday,20,Pickpocketing / Theft,IPC Sec 379,1,Central,Central Sector PS,"General Sector Road, Central",Residential Colony,28.696684,77.068711,No,Chargesheet Filed
DL-2015-021665,2015-01-05 22:35:38,2015-01-05,22:35,2015,1,Monday,22,Snatching,IPC Sec 356 / 379,3,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.62952,77.219969,No,Under Investigation
DL-2015-018032,2015-01-05 23:08:46,2015-01-05,23:08,2015,1,Monday,23,Snatching,IPC Sec 356 / 379,3,Rohini,Prashant Vihar,Sector 14 / Outer Ring Road Hub,Residential & Highway Arterial,28.714451,77.100987,No,Chargesheet Filed
DL-2015-004853,2015-01-05 23:20:55,2015-01-05,23:20,2015,1,Monday,23,Motor Vehicle Theft,IPC Sec 379,2,East,Ghazipur,Ghazipur Mandi / Delhi-UP Border,Interstate Border / Wholesale Mandi,28.618358,77.318055,No,Under Investigation
DL-2015-020641,2015-01-05 23:37:29,2015-01-05,23:37,2015,1,Monday,23,Robbery,IPC Sec 392 / 397,4,North East,Seelampur,Seelampur Market & Flyover Underpass,Dense Residential & Market,28.670922,77.273387,No,Chargesheet Filed
DL-2015-010448,2015-01-06 03:53:56,2015-01-06,03:53,2015,1,Tuesday,3,Burglary,IPC Sec 380 / 457,3,Outer North,Bawana,Bawana Industrial Area Sector 1-5,Industrial Complex,28.78984,77.031009,No,Convicted
DL-2015-023806,2015-01-06 11:48:30,2015-01-06,11:48,2015,1,Tuesday,11,Snatching,IPC Sec 356 / 379,3,South East,Lajpat Nagar,Central Market Lajpat Nagar II,Shopping District,28.572205,77.244571,No,Under Investigation
DL-2015-017964,2015-01-06 14:50:41,2015-01-06,14:50,2015,1,Tuesday,14,Eve Teasing / Harassment,IPC Sec 354 / 509,3,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.629594,77.222628,No,Chargesheet Filed
DL-2015-017773,2015-01-06 15:51:01,2015-01-06,15:51,2015,1,Tuesday,15,Burglary,IPC Sec 380 / 457,3,West,Janakpuri,Janakpuri District Centre,Commercial Complex,28.634373,77.085359,No,Under Investigation
DL-2015-034076,2015-01-06 18:40:58,2015-01-06,18:40,2015,1,Tuesday,18,Assault / Hurt,IPC Sec 323 / 325,4,North East,Seelampur,Seelampur Market & Flyover Underpass,Dense Residential & Market,28.669282,77.28233,Yes,Untraced
DL-2015-002286,2015-01-06 18:50:31,2015-01-06,18:50,2015,1,Tuesday,18,Snatching,IPC Sec 356 / 379,3,West,Rajouri Garden,Main Market & Metro Interchange,Commercial & Nightclub Hub,28.642947,77.125883,No,Under Investigation
DL-2015-009677,2015-01-06 20:05:47,2015-01-06,20:05,2015,1,Tuesday,20,Pickpocketing / Theft,IPC Sec 379,1,Central,Central Sector PS,"General Sector Road, Central",Residential Colony,28.818144,77.149434,No,Chargesheet Filed
DL-2015-029075,2015-01-06 20:23:48,2015-01-06,20:23,2015,1,Tuesday,20,Robbery,IPC Sec 392 / 397,5,Dwarka,Dwarka Sector 23,Dwarka Expressway / Sector 21 Terminal,Transit Expressway & Isolated Stretch,28.550524,77.057201,Yes,Under Investigation
DL-2015-018257,2015-01-06 23:26:36,2015-01-06,23:26,2015,1,Tuesday,23,Burglary,IPC Sec 380 / 457,3,Rohini,Prashant Vihar,Sector 14 / Outer Ring Road Hub,Residential & Highway Arterial,28.71725,77.107511,No,Chargesheet Filed
DL-2015-027123,2015-01-07 03:59:31,2015-01-07,03:59,2015,1,Wednesday,3,Motor Vehicle Theft,IPC Sec 379,2,West,Rajouri Garden,Main Market & Metro Interchange,Commercial & Nightclub Hub,28.655524,77.118859,No,Chargesheet Filed
DL-2015-012916,2015-01-07 04:46:04,2015-01-07,04:46,2015,1,Wednesday,4,Assault / Hurt,IPC Sec 323 / 325,4,Outer North,Narela,Narela Industrial Area / DSIDC Complex,Industrial & Border Outpost,28.854254,77.100523,Yes,Untraced
DL-2015-019571,2015-01-07 06:00:33,2015-01-07,06:00,2015,1,Wednesday,6,Motor Vehicle Theft,IPC Sec 379,2,East,Ghazipur,Ghazipur Mandi / Delhi-UP Border,Interstate Border / Wholesale Mandi,28.63645,77.331228,No,Chargesheet Filed
DL-2015-010866,2015-01-07 07:09:30,2015-01-07,07:09,2015,1,Wednesday,7,Snatching,IPC Sec 356 / 379,3,North,Kotwali,Chandni Chowk / Old Delhi Railway Station,Crowded Wholesale Market,28.648656,77.235298,Yes,Chargesheet Filed
DL-2015-013837,2015-01-07 08:58:43,2015-01-07,08:58,2015,1,Wednesday,8,Snatching,IPC Sec 356 / 379,3,West,West Sector PS,"General Sector Road, West",Near Market,28.657954,77.090047,No,Chargesheet Filed
DL-2015-019400,2015-01-07 12:45:48,2015-01-07,12:45,2015,1,Wednesday,12,Burglary,IPC Sec 380 / 457,3,Outer,Outer Sector PS,"General Sector Road, Outer",Residential Colony,28.462354,77.30365,No,Chargesheet Filed
DL-2015-009315,2015-01-07 19:25:44,2015-01-07,19:25,2015,1,Wednesday,19,Pickpocketing / Theft,IPC Sec 379,1,Dwarka,Uttam Nagar,Uttam Nagar East Metro / Arya Samaj Road,Crowded Arterial Road,28.624885,77.061681,No,Under Investigation
DL-2015-004635,2015-01-07 20:13:53,2015-01-07,20:13,2015,1,Wednesday,20,Snatching,IPC Sec 356 / 379,3,Central,Paharganj,New Delhi Railway Station / Paharganj Bazaar,Transit Hub / Commercial,28.645723,77.200653,Yes,Chargesheet Filed
DL-2015-008240,2015-01-07 20:49:52,2015-01-07,20:49,2015,1,Wednesday,20,Motor Vehicle Theft,IPC Sec 379,2,North,Kashmere Gate,ISBT Kashmere Gate & Metro Junction,Interstate Transit Hub,28.669688,77.231317,No,Chargesheet Filed
DL-2015-002237,2015-01-07 21:46:40,2015-01-07,21:46,2015,1,Wednesday,21,Assault / Hurt,IPC Sec 323 / 325,3,North East,Seelampur,Seelampur Market & Flyover Underpass,Dense Residential & Market,28.663989,77.283274,No,Chargesheet Filed
