record_id,year,district,police_station,landmark_premise,premises_type,crime_category,statutory_ipc,date,hour,minute,day_of_week,is_weekend,is_night,is_rush_hour,latitude,longitude,severity_score,risk_index,risk_level,is_high_risk,confirmation_status
DEL-FIR-2017-100000,2017,East,Laxmi Nagar,Laxmi Nagar Vikas Marg Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2017-04-19,21,47,Wednesday,0,0,0,28.631927,77.277742,4,0.615,Medium,0,Confirmed
DEL-FIR-2015-100001,2015,Central,Chandni Chowk,New Delhi Railway Station Gate 2,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2015-08-06,18,32,Thursday,0,0,1,28.644509,77.220614,3,0.491,Medium,0,Confirmed
DEL-FIR-2018-100002,2018,Shahdara,Krishna Nagar,Shahdara Railway Station Chauraha,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2018-07-31,17,48,Tuesday,0,0,1,28.677158,77.291535,3,0.479,Medium,0,Confirmed
DEL-FIR-2022-100003,2022,North,Timarpur,Delhi University North Campus Arts Faculty,Educational & Campus Environs,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2022-09-18,19,54,Sunday,1,0,1,28.690688,77.206558,3,0.492,Medium,0,Confirmed
DEL-FIR-2023-100006,2023,Outer,Paschim Vihar,Mangolpuri Industrial Area Phase 1,Industrial & Warehouse Estates,Motor Vehicle Theft,IPC 379 (BNS 303),2023-04-21,0,10,Friday,0,1,0,28.689411,77.083528,3,0.708,High,1,Confirmed
DEL-FIR-2025-100007,2025,Shahdara,Farsh Bazar,Anand Vihar ISBT & Railway Terminal,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-05-14,2,10,Wednesday,0,1,0,28.647667,77.3161,4,0.661,High,1,Confirmed
DEL-FIR-2018-100011,2018,South,Greater Kailash,Saket Select Citywalk Environs,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2018-08-03,3,9,Friday,0,1,0,28.525808,77.220594,3,0.591,Medium,0,Confirmed
DEL-FIR-2015-100012,2015,Central,Chandni Chowk,Chandni Chowk Main Street,Commercial & Retail Market,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2015-04-05,3,35,Sunday,1,1,0,28.656618,77.226081,4,0.766,High,1,Confirmed
DEL-FIR-2018-100013,2018,Outer-North,Samaypur Badli,Shahbad Dairy Area,Residential Gated Colony,Street Robbery / Mugging,IPC 392/394 (BNS 309),2018-07-19,22,27,Thursday,0,1,0,28.756394,77.113477,4,0.654,High,1,Confirmed
DEL-FIR-2015-100015,2015,South,Malviya Nagar,Saket Select Citywalk Environs,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2015-01-05,0,58,Monday,0,1,0,28.526668,77.217327,4,0.785,High,1,Confirmed
DEL-FIR-2016-100016,2016,Central,Daryaganj,Daryaganj Sunday Book Market Area,Street & Public Roadways,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2016-12-02,21,5,Friday,0,0,0,28.648875,77.236512,3,0.431,Medium,0,Confirmed
DEL-FIR-2020-100017,2020,North-East,Bhajanpura,Jafrabad Main Road,Street & Public Roadways,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2020-12-11,21,10,Friday,0,0,0,28.681326,77.267815,3,0.446,Medium,0,Confirmed
DEL-FIR-2023-100018,2023,South,Saket,Hauz Khas Metro Station Interchange,Transit & Metro Hub,Street Robbery / Mugging,IPC 392/394 (BNS 309),2023-05-18,1,41,Thursday,0,1,0,28.545406,77.208173,4,0.691,High,1,Confirmed
DEL-FIR-2019-100019,2019,Central,Paharganj,Paharganj Hotel & Station Corridor,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2019-12-10,21,14,Tuesday,0,0,0,28.642659,77.21458,3,0.551,Medium,0,Confirmed
DEL-FIR-2020-100020,2020,New Delhi,Connaught Place,Rajiv Chowk Metro Interchange,Transit & Metro Hub,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2020-05-03,2,32,Sunday,1,1,0,28.631842,77.219129,2,0.617,Medium,0,Confirmed
DEL-FIR-2024-100021,2024,Rohini,Kanjhawala,Prashant Vihar Institutional Area,Bank & ATM Premises,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2024-02-17,4,51,Saturday,1,1,0,28.707955,77.137068,4,0.813,High,1,Confirmed
DEL-FIR-2017-100022,2017,West,Tilak Nagar,Punjabi Bagh Club Road,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2017-03-17,1,43,Friday,0,1,0,28.667817,77.129554,3,0.583,Medium,0,Confirmed
DEL-FIR-2019-100023,2019,North-East,Bhajanpura,Seelampur Metro & Market Chowk,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2019-02-12,18,27,Tuesday,0,0,1,28.667937,77.267595,3,0.579,Medium,0,Confirmed
DEL-FIR-2025-100026,2025,West,Tilak Nagar,Punjabi Bagh Club Road,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-11-30,23,50,Sunday,1,1,0,28.668234,77.121941,3,0.654,High,1,Confirmed
DEL-FIR-2025-100027,2025,New Delhi,Tilak Marg,Barakhamba Road ATM Cluster,Bank & ATM Premises,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-09-10,17,37,Wednesday,0,0,1,28.63025,77.229173,3,0.389,Low,0,Confirmed
DEL-FIR-2020-100028,2020,North,Maurice Nagar,Kashmere Gate ISBT & Metro,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2020-04-10,21,4,Friday,0,0,0,28.666242,77.227719,3,0.548,Medium,0,Confirmed
DEL-FIR-2025-100030,2025,Shahdara,Vivek Vihar,Krishna Nagar Lal Quarter Market,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-04-03,3,19,Thursday,0,1,0,28.659209,77.286086,3,0.617,Medium,0,Confirmed
