record_id,district,police_station,landmark_premise,premises_type,crime_category,statutory_ipc,date,hour,minute,day_of_week,is_weekend,is_night,is_rush_hour,latitude,longitude,severity_score,risk_index,risk_level,is_high_risk,confirmation_status
DEL-FIR-2025-100000,East,Laxmi Nagar,Laxmi Nagar Vikas Marg Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-02-22,21,47,Saturday,1,0,0,28.631927,77.277742,4,0.715,High,1,Confirmed
DEL-FIR-2025-100001,Central,Chandni Chowk,New Delhi Railway Station Gate 2,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-11-05,18,32,Wednesday,0,0,1,28.644509,77.220614,3,0.491,Medium,0,Confirmed
DEL-FIR-2025-100002,East,Kalyanpuri,Kalyanpuri Bus Terminal Environs,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-03-23,17,48,Sunday,1,0,1,28.622158,77.316535,3,0.579,Medium,0,Confirmed
DEL-FIR-2025-100003,North,Timarpur,Delhi University North Campus Arts Faculty,Educational & Campus Environs,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-06-26,19,54,Thursday,0,0,1,28.690688,77.206558,3,0.392,Low,0,Confirmed
DEL-FIR-2025-100004,Shahdara,Farsh Bazar,Vivek Vihar Block B,Residential Gated Colony,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-05-31,2,35,Saturday,1,1,0,28.671968,77.304347,3,0.579,Medium,0,Pending Investigation
DEL-FIR-2025-100005,Outer,Mianwali Nagar,Sultanpuri C-Block Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-05-29,22,14,Thursday,0,1,0,28.703875,77.075974,3,0.668,High,1,False Alarm / Dismissed
DEL-FIR-2025-100006,Outer,Paschim Vihar,Mangolpuri Industrial Area Phase 1,Industrial & Warehouse Estates,Motor Vehicle Theft,IPC 379 (BNS 303),2025-07-09,0,10,Wednesday,0,1,0,28.689411,77.083528,3,0.708,High,1,Confirmed
DEL-FIR-2025-100007,Shahdara,Farsh Bazar,Anand Vihar ISBT & Railway Terminal,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-08-25,2,10,Monday,0,1,0,28.647667,77.3161,4,0.661,High,1,Confirmed
DEL-FIR-2025-100008,East,Preet Vihar,Kalyanpuri Bus Terminal Environs,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-01-17,1,14,Friday,0,1,0,28.617911,77.315222,4,0.675,High,1,Pending Investigation
DEL-FIR-2025-100009,Central,Rajinder Nagar,Paharganj Hotel & Station Corridor,Transit & Metro Hub,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-07-22,18,31,Tuesday,0,0,1,28.643857,77.212949,2,0.408,Low,0,Pending Investigation
DEL-FIR-2025-100010,North,Civil Lines,Sadar Bazar Wholesale Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-10-27,19,47,Monday,0,0,1,28.653797,77.213705,3,0.502,Medium,0,Confirmed
DEL-FIR-2025-100011,South-West,Vasant Vihar,Vasant Kunj Promenade Mall,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-02-26,22,55,Wednesday,0,1,0,28.538709,77.158559,3,0.591,Medium,0,Confirmed
DEL-FIR-2025-100012,East,Pandav Nagar,Akshardham Metro Station Corridor,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-05-09,20,33,Friday,0,0,1,28.618487,77.274427,3,0.436,Medium,0,False Alarm / Dismissed
DEL-FIR-2025-100013,New Delhi,Tilak Marg,Connaught Place Inner Circle,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-05-31,10,7,Saturday,1,0,1,28.631959,77.218423,4,0.691,High,1,Confirmed
DEL-FIR-2025-100014,Shahdara,Farsh Bazar,Krishna Nagar Lal Quarter Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-11-17,20,55,Monday,0,0,1,28.658751,77.283351,4,0.509,Medium,0,Confirmed
DEL-FIR-2025-100015,Dwarka,Dwarka Sector 23,Dwarka Sector 21 Metro Interchange,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-09-29,4,59,Monday,0,1,0,28.55045,77.057008,3,0.705,High,1,Unconfirmed / Unverified Tip
DEL-FIR-2025-100016,North-West,Netaji Subhash Place,Netaji Subhash Place Commercial Hub,Commercial & Retail Market,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-01-30,9,15,Thursday,0,0,1,28.69324,77.148203,2,0.439,Medium,0,Confirmed
DEL-FIR-2025-100017,Central,Chandni Chowk,Karol Bagh Gaffar Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-03-06,17,49,Thursday,0,0,1,28.650981,77.189336,4,0.613,Medium,0,Confirmed
DEL-FIR-2025-100018,Rohini,South Rohini,Prashant Vihar Institutional Area,Bank & ATM Premises,Motor Vehicle Theft,IPC 379 (BNS 303),2025-10-04,23,59,Saturday,1,1,0,28.713624,77.137371,3,0.623,Medium,0,Confirmed
DEL-FIR-2025-100019,Shahdara,Krishna Nagar,Krishna Nagar Lal Quarter Market,Commercial & Retail Market,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-09-22,0,57,Monday,0,1,0,28.658334,77.284713,3,0.701,High,1,Confirmed
DEL-FIR-2025-100020,,Karol Bagh,Daryaganj Sunday Book Market Area,Street & Public Roadways,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-02-06,2,0,Thursday,0,1,0,28.64678,77.240527,4,0.59,Medium,0,Confirmed
DEL-FIR-2025-100021,New Delhi,Connaught Place,Khan Market,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-10-04,1,13,Saturday,1,1,0,28.594718,77.230792,3,0.82,High,1,Confirmed
DEL-FIR-2025-100022,Dwarka,Dwarka South,Najafgarh Road Trunk Highway,Street & Public Roadways,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-02-18,20,12,Tuesday,0,0,1,28.617856,77.032007,3,0.433,Medium,0,Confirmed
DEL-FIR-2025-100023,West,Tilak Nagar,Tilak Nagar Metro Station,Transit & Metro Hub,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-02-20,18,41,Thursday,0,0,1,28.635111,77.097278,2,0.499,Medium,0,Confirmed
DEL-FIR-2025-100024,North-East,Bhajanpura,Seelampur Metro & Market Chowk,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-04-04,18,27,Friday,0,0,1,28.668941,77.269577,3,0.372,Low,0,Confirmed
DEL-FIR-2025-100025,Outer-North,Alipur,Bawana Industrial Estate Sector 3,Industrial & Warehouse Estates,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-11-30,3,3,Sunday,1,1,0,28.799354,77.042143,4,0.8,High,1,False Alarm / Dismissed
DEL-FIR-2025-100026,Central,Paharganj,Paharganj Hotel & Station Corridor,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-01-31,4,25,Friday,0,1,0,,,3,0.642,Medium,0,Confirmed
DEL-FIR-2025-100027,West,Tilak Nagar,Punjabi Bagh Club Road,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-10-12,23,50,Sunday,1,1,0,28.668909,77.130762,3,0.639,Medium,0,Confirmed
DEL-FIR-2025-100028,South,Saket,Malviya Nagar Shivalik Colony,Residential Gated Colony,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-06-10,21,47,Tuesday,0,0,0,28.532766,77.206993,3,0.461,Medium,0,Confirmed
DEL-FIR-2025-100029,Rohini,Prashant Vihar,Begumpur Main Chowk,Street & Public Roadways,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-11-01,18,4,Saturday,1,0,1,28.729767,77.076764,3,0.541,Medium,0,Confirmed
DEL-FIR-2025-100030,West,Patel Nagar,Rajouri Garden Main Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-08-03,21,5,Sunday,1,0,0,28.649209,77.125086,3,0.567,Medium,0,Confirmed
DEL-FIR-2025-100031,South-West,Vasant Vihar,RK Puram Sector 4 Complex,Residential Gated Colony,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-03-09,3,25,Sunday,1,1,0,28.566471,77.18017,4,0.672,High,1,Confirmed
DEL-FIR-2025-100032,South-West,Vasant Kunj,Mahipalpur Highway Hotel Corridor,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-10-03,3,4,Friday,0,1,0,28.543553,77.126487,3,0.565,Medium,0,Confirmed
DEL-FIR-2025-100033,Outer-North,Narela,Samaypur Badli Metro & Railway Hub,Transit & Metro Hub,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-10-06,9,28,Monday,0,0,1,28.745562,77.139358,2,0.401,Low,0,Confirmed
DEL-FIR-2025-100034,North-East,Seelampur,Jafrabad Main Road,Street & Public Roadways,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-03-10,14,6,Monday,0,0,0,28.6814,77.267596,4,0.487,Medium,0,Confirmed
DEL-FIR-2025-100035,Shahdara,Vivek Vihar,Shahdara Railway Station Chauraha,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-04-15,3,21,Tuesday,0,1,0,28.674808,77.293772,3,0.661,High,1,Confirmed
DEL-FIR-2025-100036,Rohini,South Rohini,Rithala Metro Terminal,Transit & Metro Hub,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-08-05,2,40,Tuesday,0,1,0,30.066979,75.196229,2,0.477,Medium,0,Pending Investigation
DEL-FIR-2025-100037,South-East,Sarita Vihar,Lajpat Nagar Central Market,Commercial & Retail Market,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-02-08,1,7,Saturday,1,1,0,28.567647,77.24342,4,0.956,High,1,Unconfirmed / Unverified Tip
DEL-FIR-2025-100038,North,Kashmere Gate,Kamla Nagar Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-03-07,21,27,Friday,0,0,0,28.681051,77.203204,4,0.581,Medium,0,Confirmed
DEL-FIR-2025-100039,Outer-North,Samaypur Badli,Bawana Industrial Estate Sector 3,Industrial & Warehouse Estates,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-10-14,17,22,Tuesday,0,0,1,28.796075,77.043882,3,0.47,Medium,0,Pending Investigation
